Identificador de la entidad,Calificación del usuario
1,3
2,3.5
3,2.9
4,5.0
5,3.3
6,1.8
7,4.2
8,3.9
9,2.6
10,4.5
11,1.2
12,3.8
13,2.5
14,4.1
15,1.6
16,4.6
17,3.1
18,2.3
19,4.0
20,1.9
21,2.0
22,3.4
23,4.9
24,2.7
25,3.0
26,1.5
27,4.3
28,3.6
29,2.1
30,3.2
31,4.4
32,2.8
33,3.7
34,1.3
35,4.8
36,2.2
37,3.3
38,1.7
39,2.9
40,3.5
41,4.6
42,1.4
43,2.4
44,4.0
45,3.9
46,1.1
47,2.6
48,3.8
49,2.0
50,4.1
51,3.0
52,1.9
53,2.3
54,4.7
55,3.6
56,2.1
57,3.7
58,1.2
59,4.5
60,2.2
61,3.4
62,1.6
63,2.7
64,3.3
65,1.5
66,4.8
67,3.1
68,2.8
69,1.8
70,3.9
71,4.2
72,2.5
73,3.2
74,1.3
75,4.0
76,2.4
77,3.0
78,1.7
79,4.6
80,2.9
81,3.5
82,1.4
83,4.3
84,3.6
85,1.1
86,2.0
87,4.9
88,2.6
89,3.7
90,1.9
91,4.1
92,2.3
93,3.8
94,1.2
95,4.4
96,2.7
97,3.1
98,1.5
99,2.2
100,3.4
